# LiB3O5 / LBO (dispersive) -- principal refractive index
# source: C. Chen, Y. Wu, A. Jiang, B. Wu, G. You, R. Li, S. Lin. New nonlinear-optical crystal: LiB3O5. J. Opt. Soc. Am. B 6, 616-621 (1989); dispersion formula from F. Hanson and D. Dick, Opt. Lett. 16, 205-207 (1991).
# doi: 10.1364/JOSAB.6.000616   conditions: room temperature
# validity: 0.2894-1.064 um
# via refractiveindex.info database (CC0): LiB3O5/nk/Chen-alpha.yml, LiB3O5/nk/Chen-beta.yml, LiB3O5/nk/Chen-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 1.1e-06
wavelength_um,nx,ny,nz
0.876,1.5685639,1.5938628,1.6091773
0.878,1.5685284,1.5938218,1.6091348
0.88,1.568493,1.5937809,1.6090923
0.882,1.5684577,1.5937403,1.60905
0.884,1.5684225,1.5936998,1.6090078
0.886,1.5683874,1.5936595,1.6089657
0.888,1.5683524,1.5936194,1.6089238
0.89,1.5683175,1.5935795,1.608882
0.892,1.5682828,1.5935398,1.6088403
0.894,1.5682481,1.5935002,1.6087987
0.896,1.5682135,1.5934608,1.6087573
0.898,1.568179,1.5934216,1.6087159
0.9,1.5681445,1.5933825,1.6086747
0.902,1.5681102,1.5933436,1.6086336
0.904,1.568076,1.5933049,1.6085927
0.906,1.5680419,1.5932664,1.6085518
0.908,1.5680078,1.593228,1.608511
0.91,1.5679739,1.5931897,1.6084704
0.912,1.56794,1.5931517,1.6084299
0.914,1.5679062,1.5931138,1.6083895
0.916,1.5678725,1.593076,1.6083491
0.918,1.5678389,1.5930384,1.6083089
0.92,1.5678053,1.593001,1.6082688
0.922,1.5677719,1.5929637,1.6082288
0.924,1.5677385,1.5929266,1.6081889
0.926,1.5677052,1.5928896,1.6081491
0.928,1.567672,1.5928527,1.6081094
0.93,1.5676389,1.5928161,1.6080698
0.932,1.5676058,1.5927795,1.6080303
0.934,1.5675728,1.5927431,1.6079909
0.936,1.5675399,1.5927069,1.6079516
0.938,1.567507,1.5926707,1.6079124
0.94,1.5674743,1.5926348,1.6078733
0.942,1.5674416,1.5925989,1.6078342
0.944,1.5674089,1.5925632,1.6077953
0.946,1.5673764,1.5925277,1.6077564
0.948,1.5673439,1.5924922,1.6077176
0.95,1.5673115,1.5924569,1.6076789
0.952,1.5672791,1.5924218,1.6076403
0.954,1.5672468,1.5923867,1.6076018
0.956,1.5672146,1.5923518,1.6075634
0.958,1.5671824,1.5923171,1.607525
0.96,1.5671503,1.5922824,1.6074868
0.962,1.5671183,1.5922479,1.6074486
0.964,1.5670863,1.5922135,1.6074104
0.966,1.5670544,1.5921792,1.6073724
0.968,1.5670225,1.5921451,1.6073344
0.97,1.5669907,1.592111,1.6072966
0.972,1.566959,1.5920771,1.6072587
0.974,1.5669273,1.5920433,1.607221
0.976,1.5668957,1.5920097,1.6071833
0.978,1.5668641,1.5919761,1.6071457
0.98,1.5668326,1.5919427,1.6071082
0.982,1.5668011,1.5919093,1.6070708
0.984,1.5667697,1.5918761,1.6070334
0.986,1.5667383,1.591843,1.6069961
0.988,1.566707,1.59181,1.6069588
0.99,1.5666758,1.5917771,1.6069216
