# TaAs (dispersive) -- principal refractive index and extinction coefficient
# source: R. Zu, M. Gu, L. Min, C. Hu, N. Ni, Z. Mao, J. M. Rondinelli, V. Gopalan. Comprehensive anisotropic linear optical properties of the Weyl semimetals TaAs and NbAs. Phys. Rev. B 103, 165137 (2021).
# doi: 10.1103/PhysRevB.103.165137   conditions: spectroscopic ellipsometry, room temperature, Lorentz model of Eq. 1
# validity: 0.2066-1.0332 um (the measured window, 1.2-6 eV)
# Lorentz-oscillator model of Eq. 1 with the INFRARED POLE TAKEN NEGATIVE -- the printed plus disagrees with the paper's own Fig. 1 and with the exported case-study registry; see benchmarks/generate_dispersion_tables.py
# generated by benchmarks/generate_dispersion_tables.py
wavelength_um,no,ne,ko,ke
0.4826,3.1563692,3.4671676,2.3554947,2.4222682
0.4836,3.1591009,3.4697898,2.3560638,2.4225432
0.4846,3.1618193,3.4724213,2.3566252,2.4228663
0.4856,3.1645244,3.475062,2.3571791,2.4232361
0.4866,3.1672161,3.4777122,2.3577258,2.4236514
0.4876,3.1698942,3.4803718,2.3582654,2.4241111
0.4886,3.1725587,3.4830409,2.3587982,2.4246144
0.4896,3.1752095,3.4857195,2.3593243,2.4251606
0.4906,3.1778464,3.4884077,2.3598442,2.4257489
0.4916,3.1804694,3.4911054,2.3603578,2.4263791
0.4926,3.1830785,3.4938127,2.3608656,2.4270508
0.4936,3.1856735,3.4965299,2.3613676,2.4277637
0.4946,3.1882544,3.499257,2.3618642,2.4285179
0.4956,3.1908211,3.5019942,2.3623555,2.4293132
0.4966,3.1933735,3.5047418,2.3628418,2.4301499
0.4976,3.1959117,3.5075001,2.3633232,2.4310282
0.4986,3.1984355,3.5102694,2.3638001,2.4319483
0.4996,3.2009449,3.5130503,2.3642727,2.4329107
0.5006,3.2034399,3.5158432,2.3647411,2.433916
0.5016,3.2059204,3.5186487,2.3652055,2.4349646
0.5026,3.2083865,3.5214676,2.3656663,2.4360572
0.5036,3.2108379,3.5243007,2.3661236,2.4371946
0.5046,3.2132749,3.5271487,2.3665776,2.4383775
0.5056,3.2156972,3.5300128,2.3670285,2.4396069
0.5066,3.218105,3.532894,2.3674767,2.4408836
0.5076,3.2204981,3.5357936,2.3679222,2.4422087
0.5086,3.2228766,3.538713,2.3683654,2.4435832
0.5096,3.2252405,3.5416537,2.3688064,2.4450083
0.5106,3.2275897,3.5446174,2.3692454,2.4464849
0.5116,3.2299244,3.5476059,2.3696826,2.4480145
0.5126,3.2322444,3.5506214,2.3701184,2.449598
0.5136,3.2345498,3.553666,2.3705528,2.4512369
0.5146,3.2368406,3.5567422,2.3709861,2.4529323
0.5156,3.2391168,3.5598525,2.3714185,2.4546855
0.5166,3.2413785,3.5630001,2.3718503,2.4564978
0.5176,3.2436256,3.5661878,2.3722815,2.4583704
0.5186,3.2458582,3.5694193,2.3727125,2.4603044
0.5196,3.2480763,3.5726982,2.3731435,2.4623011
0.5206,3.25028,3.5760285,2.3735746,2.4643614
0.5216,3.2524693,3.5794145,2.3740061,2.4664863
0.5226,3.2546443,3.582861,2.3744381,2.4686766
0.5236,3.2568049,3.5863729,2.3748709,2.4709331
0.5246,3.2589513,3.5899557,2.3753047,2.4732561
0.5256,3.2610834,3.5936152,2.3757397,2.4756458
0.5266,3.2632014,3.5973577,2.376176,2.4781021
0.5276,3.2653053,3.6011897,2.3766139,2.4806247
0.5286,3.2673952,3.6051185,2.3770536,2.4832127
0.5296,3.2694711,3.6091514,2.3774953,2.4858647
0.5306,3.2715331,3.6132965,2.3779392,2.4885789
0.5316,3.2735813,3.6175622,2.3783855,2.4913528
0.5326,3.2756157,3.6219572,2.3788343,2.4941833
0.5336,3.2776365,3.6264908,2.3792859,2.4970661
0.5346,3.2796437,3.6311725,2.3797404,2.4999965
0.5356,3.2816374,3.6360121,2.3801981,2.5029683
0.5366,3.2836178,3.6410196,2.3806591,2.5059745
0.5376,3.2855848,3.6462053,2.3811237,2.5090066
0.5386,3.2875386,3.6515791,2.381592,2.5120549
0.5396,3.2894793,3.6571512,2.3820642,2.515108
0.5406,3.2914071,3.6629312,2.3825405,2.5181531
0.5416,3.2933219,3.6689281,2.3830211,2.5211755
0.5426,3.295224,3.6751502,2.3835061,2.5241589
0.5436,3.2971135,3.6816049,2.3839958,2.5270852
0.5446,3.2989904,3.6882979,2.3844902,2.5299343
0.5456,3.3008549,3.6952335,2.3849897,2.5326845
0.5466,3.3027071,3.7024138,2.3854944,2.5353123
0.5476,3.3045472,3.7098383,2.3860044,2.537793
0.5486,3.3063753,3.717504,2.3865199,2.5401002
0.5496,3.3081915,3.7254046,2.3870411,2.5422069
0.5506,3.309996,3.7335302,2.3875681,2.5440854
0.5516,3.3117889,3.7418673,2.3881012,2.5457081
0.5526,3.3135703,3.7503983,2.3886405,2.5470479
0.5536,3.3153406,3.7591017,2.3891861,2.548079
0.5546,3.3170997,3.7679518,2.3897382,2.5487773
0.5556,3.3188478,3.7769192,2.390297,2.5491215
0.5566,3.3205852,3.7859706,2.3908627,2.5490936
0.5576,3.3223119,3.79507,2.3914353,2.5486799
0.5586,3.3240282,3.8041787,2.392015,2.5478711
0.5596,3.3257343,3.8132562,2.392602,2.5466631
0.5606,3.3274303,3.8222613,2.3931964,2.5450576
0.5616,3.3291164,3.8311528,2.3937984,2.5430616
0.5626,3.3307928,3.8398908,2.3944081,2.540688
0.5636,3.3324597,3.848437,2.3950256,2.5379552
0.5646,3.3341173,3.8567565,2.3956511,2.5348865
0.5656,3.3357658,3.8648179,2.3962846,2.5315097
0.5666,3.3374054,3.8725942,2.3969265,2.5278563
0.5676,3.3390363,3.8800633,2.3975766,2.5239605
0.5686,3.3406588,3.8872085,2.3982352,2.5198587
0.5696,3.342273,3.8940179,2.3989025,2.515588
0.5706,3.3438792,3.9004853,2.3995784,2.5111859
0.5716,3.3454776,3.9066093,2.4002631,2.5066892
0.5726,3.3470685,3.912393,2.4009567,2.5021331
0.5736,3.348652,3.9178437,2.4016593,2.4975509
0.5746,3.3502285,3.9229723,2.402371,2.4929734
