# LiNbO3 (dispersive) -- principal refractive index
# source: D. E. Zelmon, D. L. Small, D. Jundt. Infrared corrected Sellmeier coefficients for congruently grown lithium niobate and 5 mol.% magnesium oxide-doped lithium niobate. J. Opt. Soc. Am. B 14, 3319-3322 (1997).
# doi: 10.1364/JOSAB.14.003319   conditions: congruently grown LiNbO3, 21 C
# validity: 0.4-5 um
# via refractiveindex.info database (CC0): LiNbO3/nk/Zelmon-o.yml, LiNbO3/nk/Zelmon-e.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.2e-06
wavelength_um,no,ne
1.274,2.2214775,2.1464143
1.276,2.2213919,2.1463409
1.278,2.2213064,2.1462677
1.28,2.2212212,2.1461947
1.282,2.2211362,2.1461219
1.284,2.2210514,2.1460493
1.286,2.2209668,2.1459768
1.288,2.2208824,2.1459045
1.29,2.2207982,2.1458325
1.292,2.2207142,2.1457605
1.294,2.2206304,2.1456888
1.296,2.2205469,2.1456172
1.298,2.2204635,2.1455458
1.3,2.2203803,2.1454746
1.302,2.2202973,2.1454036
1.304,2.2202145,2.1453327
1.306,2.2201319,2.145262
1.308,2.2200495,2.1451914
1.31,2.2199673,2.1451211
1.312,2.2198852,2.1450508
1.314,2.2198034,2.1449808
1.316,2.2197217,2.1449109
1.318,2.2196402,2.1448411
1.32,2.2195589,2.1447716
1.322,2.2194778,2.1447021
1.324,2.2193968,2.1446329
1.326,2.2193161,2.1445638
1.328,2.2192355,2.1444948
1.33,2.2191551,2.144426
1.332,2.2190748,2.1443574
1.334,2.2189947,2.1442888
1.336,2.2189148,2.1442205
1.338,2.2188351,2.1441523
1.34,2.2187555,2.1440842
1.342,2.2186761,2.1440163
1.344,2.2185969,2.1439485
1.346,2.2185178,2.1438809
1.348,2.2184389,2.1438134
1.35,2.2183602,2.1437461
1.352,2.2182816,2.1436789
1.354,2.2182031,2.1436118
1.356,2.2181249,2.1435449
1.358,2.2180468,2.1434781
1.36,2.2179688,2.1434114
1.362,2.217891,2.1433449
1.364,2.2178133,2.1432785
1.366,2.2177358,2.1432122
1.368,2.2176585,2.1431461
1.37,2.2175812,2.1430801
1.372,2.2175042,2.1430142
1.374,2.2174273,2.1429485
1.376,2.2173505,2.1428828
1.378,2.2172739,2.1428173
1.38,2.2171974,2.142752
1.382,2.217121,2.1426867
1.384,2.2170448,2.1426216
1.386,2.2169688,2.1425566
1.388,2.2168928,2.1424917
1.39,2.2168171,2.142427
1.392,2.2167414,2.1423623
1.394,2.2166659,2.1422978
1.396,2.2165905,2.1422334
1.398,2.2165152,2.1421691
1.4,2.2164401,2.1421049
1.402,2.2163651,2.1420408
1.404,2.2162903,2.1419769
1.406,2.2162155,2.1419131
1.408,2.2161409,2.1418493
1.41,2.2160664,2.1417857
1.412,2.2159921,2.1417222
1.414,2.2159178,2.1416588
1.416,2.2158437,2.1415955
1.418,2.2157697,2.1415323
1.42,2.2156959,2.1414693
1.422,2.2156221,2.1414063
1.424,2.2155485,2.1413434
1.426,2.215475,2.1412807
1.428,2.2154016,2.141218
1.43,2.2153283,2.1411554
1.432,2.2152552,2.141093
1.434,2.2151821,2.1410306
1.436,2.2151092,2.1409684
1.438,2.2150363,2.1409062
1.44,2.2149636,2.1408441
1.442,2.214891,2.1407822
1.444,2.2148185,2.1407203
1.446,2.2147462,2.1406585
1.448,2.2146739,2.1405968
1.45,2.2146017,2.1405353
